"easting","northing","weekday","hour","month","day","year","longitude","latitude","source","BLDG_ABBR","BUILDING_N","function.","aftershoot","hashtagsht"
506478.682145517,4475336.94577528,"Thu",0,"Jan",16,2014,-86.92362168,40.42864282,"iphone","","",NA,0,0
504803.482044167,4479144.65249031,"Thu",0,"Jan",16,2014,-86.9433421,40.4629582,"android","","",NA,0,0
506872.053889515,4475718.56417284,"Thu",0,"Jan",16,2014,-86.91898003,40.43207771,"iphone","CQW","Franklin Levering Cary Quadrangle (west)",3,0,0
504803.482044167,4479144.65249031,"Thu",0,"Jan",16,2014,-86.9433421,40.4629582,"android","","",NA,0,0
504803.482044167,4479144.65249031,"Thu",0,"Jan",16,2014,-86.9433421,40.4629582,"android","","",NA,0,0
506770.907887012,4475522.13551509,"Thu",0,"Jan",16,2014,-86.92017461,40.43030889,"iphone","","",NA,0,0
506768.169396496,4475498.21617256,"Thu",0,"Jan",16,2014,-86.92020715,40.43009342,"iphone","","",NA,0,0
506692.555143122,4475593.00545053,"Thu",0,"Jan",16,2014,-86.9210976,40.430948,"android","TARK","Newton Booth Tarkington Residence Hall",2,0,0
506765.780883396,4475758.36481645,"Thu",0,"Jan",16,2014,-86.92023254,40.43243715,"iphone","OWEN","Richard Owen Residence Hall",2,0,0
504765.967176034,4479954.61999727,"Thu",0,"Jan",16,2014,-86.94377851,40.47025547,"iphone","","",NA,0,0
506768.083957972,4475497.02064048,"Thu",0,"Jan",16,2014,-86.92020817,40.43008265,"iphone","","",NA,0,0
506692.900707086,4475595.46992839,"Thu",0,"Jan",16,2014,-86.9210935,40.4309702,"android","TARK","Newton Booth Tarkington Residence Hall",2,0,0
506695.73823971,4475590.41092646,"Thu",0,"Jan",16,2014,-86.9210601,40.4309246,"android","","",NA,0,0
504579.393491771,4479521.82942438,"Thu",0,"Jan",16,2014,-86.94598254,40.46635748,"iphone","","",NA,0,0
506689.893131074,4475760.59657231,"Thu",0,"Jan",16,2014,-86.92112722,40.43245787,"iphone","OWEN","Richard Owen Residence Hall",2,0,0
506768.458965023,4475491.28124162,"Thu",0,"Jan",16,2014,-86.92020381,40.43003094,"iphone","","",NA,0,0
504803.482044167,4479144.65249031,"Thu",0,"Jan",16,2014,-86.9433421,40.4629582,"android","","",NA,0,0
504548.124765308,4479502.08468291,"Thu",0,"Jan",16,2014,-86.94635152,40.46617977,"iphone","","",NA,0,0
506697.069915048,4475590.42321632,"Thu",0,"Jan",16,2014,-86.9210444,40.4309247,"android","","",NA,0,0
504782.750275418,4479935.9328699,"Thu",0,"Jan",16,2014,-86.94358067,40.47008702,"iphone","","",NA,0,0
506106.765422337,4474975.50424101,"Thu",0,"Jan",16,2014,-86.92800974,40.42538936,"iphone","MCUT","John T. Mccutcheon Residence Hall",2,0,0
505197.950810185,4477529.5024775,"Thu",0,"Jan",16,2014,-86.9387025,40.4484048,"android","","",NA,0,0
505197.950810185,4477529.5024775,"Thu",0,"Jan",16,2014,-86.9387025,40.4484048,"android","","",NA,0,0
506693.75258224,4475591.36374058,"Thu",0,"Jan",16,2014,-86.9210835,40.4309332,"android","TARK","Newton Booth Tarkington Residence Hall",2,0,0
506696.719174284,4475593.75286129,"Thu",0,"Jan",16,2014,-86.9210485,40.4309547,"android","","",NA,0,0
504920.137827441,4477692.58200244,"Thu",0,"Jan",16,2014,-86.94197738,40.44987569,"iphone","","",NA,0,0
505185.693217907,4477535.52122057,"Thu",0,"Jan",16,2014,-86.938847,40.4484591,"android","","",NA,0,0
505200.205269872,4477531.21342579,"Thu",0,"Jan",16,2014,-86.9386759,40.4484202,"android","","",NA,0,0
506216.36101548,4475941.97679954,"Thu",0,"Jan",16,2014,-86.92670831,40.43409562,"iphone","","",NA,0,0
505184.854494842,4477534.38845098,"Thu",0,"Jan",16,2014,-86.9388569,40.4484489,"android","","",NA,0,0
502675.265568235,4477938.28294347,"Thu",0,"Jan",16,2014,-86.96844986,40.45209949,"iphone","","",NA,0,0
506771.526632303,4475459.74265197,"Thu",0,"Jan",16,2014,-86.92016798,40.42974678,"iphone","","",NA,0,0
506206.818010046,4475901.34449019,"Thu",0,"Jan",16,2014,-86.92682122,40.43372963,"iphone","","",NA,0,0
506170.422138237,4475948.65202641,"Thu",0,"Jan",16,2014,-86.92724987,40.4341561,"iphone","","",NA,0,0
506679.368916342,4475379.82532415,"Thu",0,"Jan",16,2014,-86.9212553,40.42902754,"iphone","","",NA,0,0
506684.441282581,4475783.07115243,"Thu",1,"Jan",16,2014,-86.92119126,40.43266039,"iphone","OWEN","Richard Owen Residence Hall",2,0,0
506509.560837884,4475941.93164079,"Thu",1,"Jan",16,2014,-86.92325145,40.43409297,"iphone","","",NA,0,0
