tree,treecode,species,julian,infest,unit,even,uneven,yearcode,y07,y08
M0-2,1,0,271,0,0,0,0,2,1,0
M0-2,1,0,299,0,0,0,0,2,1,0
M0-2,1,0,299,0,0,0,0,2,1,0
M0-2,1,0,299,0,0,0,0,2,1,0
M0-3,2,0,299,0,0,0,0,2,1,0
M0-4,3,0,299,0,0,0,0,2,1,0
M0-4,3,0,299,0,0,0,0,2,1,0
M0-4,3,0,299,0,0,0,0,2,1,0
M0-4,3,0,299,0,0,0,0,2,1,0
M1-10-306,4,1,290,0,1,0,1,2,1,0
M1-11-305,5,0,297,1,1,0,1,1,0,0
M1-11-305,5,0,297,0,1,0,1,1,0,0
M1-11-305,5,0,297,0,1,0,1,1,0,0
M1-11-305,5,0,297,0,1,0,1,1,0,0
M1-11-305,5,0,297,0,1,0,1,1,0,0
M1-11-305,5,0,297,0,1,0,1,1,0,0
M1-11-305,5,0,324,0,1,0,1,1,0,0
M1-11-305,5,0,324,0,1,0,1,1,0,0
M1-11-305,5,0,324,0,1,0,1,1,0,0
M1-12-308,6,0,283,0,1,0,1,1,0,0
M1-12-308,6,0,283,0,1,0,1,1,0,0
M1-12-308,6,0,297,1,1,0,1,1,0,0
M1-12-308,6,0,297,0,1,0,1,1,0,0
M1-12-308,6,0,297,0,1,0,1,1,0,0
M1-12-308,6,0,297,0,1,0,1,1,0,0
M1-12-308,6,0,297,0,1,0,1,1,0,0
M1-12-308,6,0,297,0,1,0,1,1,0,0
M1-12-308,6,0,297,0,1,0,1,1,0,0
M1-12-308,6,0,297,0,1,0,1,1,0,0
M1-12-308,6,0,297,0,1,0,1,1,0,0
M1-12-308,6,0,297,0,1,0,1,1,0,0
M1-12-308,6,0,297,0,1,0,1,1,0,0
M1-12-308,6,0,297,0,1,0,1,1,0,0
M1-12-308,6,0,297,0,1,0,1,1,0,0
M1-12-308,6,0,297,0,1,0,1,1,0,0
M1-12-308,6,0,297,0,1,0,1,1,0,0
M1-12-308,6,0,297,0,1,0,1,1,0,0
M1-12-308,6,0,297,0,1,0,1,1,0,0
M1-12-308,6,0,324,1,1,0,1,1,0,0
M1-12-308,6,0,324,0,1,0,1,1,0,0
M1-12-308,6,0,324,0,1,0,1,1,0,0
M1-12-308,6,0,324,0,1,0,1,1,0,0
M1-12-308,6,0,324,0,1,0,1,1,0,0
M1-12-308,6,0,324,0,1,0,1,1,0,0
M1-12-308,6,0,324,0,1,0,1,1,0,0
M1-12-308,6,0,324,0,1,0,1,1,0,0
M1-12-308,6,0,324,0,1,0,1,1,0,0
M1-12-308,6,0,324,1,1,0,1,1,0,0
M1-12-308,6,0,324,0,1,0,1,1,0,0
M1-12-308,6,0,324,0,1,0,1,1,0,0
M1-12-308,6,0,324,1,1,0,1,1,0,0
M1-12-308,6,0,324,0,1,0,1,1,0,0
M1-12-308,6,0,256,0,1,0,1,2,1,0
M1-12-308,6,0,256,0,1,0,1,2,1,0
M1-12-308,6,0,275,1,1,0,1,2,1,0
M1-12-308,6,0,275,0,1,0,1,2,1,0
M1-12-308,6,0,275,0,1,0,1,2,1,0
M1-12-308,6,0,275,0,1,0,1,2,1,0
M1-12-308,6,0,275,1,1,0,1,2,1,0
M1-12-308,6,0,275,1,1,0,1,2,1,0
M1-12-308,6,0,275,0,1,0,1,2,1,0
M1-12-308,6,0,275,0,1,0,1,2,1,0
M1-12-308,6,0,290,0,1,0,1,2,1,0
M1-12-308,6,0,290,0,1,0,1,2,1,0
M1-12-308,6,0,290,0,1,0,1,2,1,0
M1-12-308,6,0,290,1,1,0,1,2,1,0
M1-12-308,6,0,290,1,1,0,1,2,1,0
M1-12-308,6,0,290,0,1,0,1,2,1,0
M1-12-308,6,0,290,0,1,0,1,2,1,0
M1-12-308,6,0,290,0,1,0,1,2,1,0
M1-12-308,6,0,290,0,1,0,1,2,1,0
M1-12-308,6,0,290,0,1,0,1,2,1,0
M1-12-308,6,0,290,0,1,0,1,2,1,0
M1-12-308,6,0,290,0,1,0,1,2,1,0
M1-12-308,6,0,303,0,1,0,1,2,1,0
M1-12-308,6,0,303,1,1,0,1,2,1,0
M1-12-308,6,0,303,0,1,0,1,2,1,0
M1-12-308,6,0,303,0,1,0,1,2,1,0
M1-12-308,6,0,303,0,1,0,1,2,1,0
M1-12-308,6,0,303,0,1,0,1,2,1,0
M1-12-308,6,0,317,0,1,0,1,2,1,0
M1-12-308,6,0,317,0,1,0,1,2,1,0
M1-12-308,6,0,317,0,1,0,1,2,1,0
M1-1-274,7,0,283,0,1,0,1,1,0,0
M1-1-274,7,0,283,0,1,0,1,1,0,0
M1-1-274,7,0,283,0,1,0,1,1,0,0
M1-1-274,7,0,297,0,1,0,1,1,0,0
M1-1-274,7,0,297,0,1,0,1,1,0,0
M1-1-274,7,0,297,0,1,0,1,1,0,0
M1-1-274,7,0,297,0,1,0,1,1,0,0
M1-1-274,7,0,297,0,1,0,1,1,0,0
M1-1-274,7,0,297,0,1,0,1,1,0,0
M1-1-274,7,0,326,0,1,0,1,1,0,0
M1-1-274,7,0,326,0,1,0,1,1,0,0
M1-1-274,7,0,326,0,1,0,1,1,0,0
M1-1-274,7,0,326,0,1,0,1,1,0,0
M1-1-274,7,0,275,0,1,0,1,2,1,0
M1-1-274,7,0,275,0,1,0,1,2,1,0
M1-1-274,7,0,275,0,1,0,1,2,1,0
M1-1-274,7,0,275,0,1,0,1,2,1,0
M1-1-274,7,0,275,1,1,0,1,2,1,0
M1-1-274,7,0,290,0,1,0,1,2,1,0
M1-1-274,7,0,290,0,1,0,1,2,1,0
M1-1-274,7,0,290,0,1,0,1,2,1,0
M1-1-274,7,0,290,0,1,0,1,2,1,0
M1-1-274,7,0,290,1,1,0,1,2,1,0
M1-1-274,7,0,290,0,1,0,1,2,1,0
M1-1-274,7,0,290,0,1,0,1,2,1,0
M1-1-274,7,0,290,1,1,0,1,2,1,0
M1-1-274,7,0,290,0,1,0,1,2,1,0
M1-1-274,7,0,303,0,1,0,1,2,1,0
M1-2-275,8,0,283,0,1,0,1,1,0,0
M1-2-275,8,0,283,0,1,0,1,1,0,0
M1-2-275,8,0,283,0,1,0,1,1,0,0
M1-2-275,8,0,283,0,1,0,1,1,0,0
M1-2-275,8,0,283,0,1,0,1,1,0,0
